C|98795|24|M|Jakob Stone|24 år, Student, Uppsala
C|110975|57|K|Helena Olsson|57 år, Admin. samordnare, Ekeby
C|110976|56|M|Anders Alm|56 år, Kock, Ekeby
C|110977|37|K|Catrin Johansson|37 år, Verksamhetsassistent, Gränby
C|110978|39|M|Viktor Karlsson|39 år, Renhållningsarbetare, Salabacke
C|98796|52|K|Emine Behiye Karakitapoglu|52 år, Miljöstrateg, Uppsala
C|110980|37|M|Eric Kapinga|37 år, Projektsamordnare, Flogsta
C|110981|62|K|Josefin Mannberg|62 år, Psykolog, Svartbäcken
C|110982|31|M|Daniel Simmons|31 år, Politices masterstudent, Luthagen
C|110983|43|K|Annica Nordin|43 år, Förlagsredaktör, Årsta
C|110984|66|M|Christer Solander|66 år, Miljö- och hälsoskyddsinspektör, Ekeby
C|110985|28|K|Caitlin McEvoy|28 år, Doktorand, Kåbo
C|110986|66|M|Björn-Erik Tapper|66 år, Ingenjör, Ulleråker
C|110987|65|K|Soraja Nadimpour|65 år, F.d. miljösamordnare, Sunnersta
C|110988|22|M|Erik Andersson|22 år, Studerande, Rackarberget
C|110989|50|K|Helena Nordlund|50 år, Förhandlare på Hyresgästföreningen, Sävja
C|110990|35|M|Erik Johansson|35 år, Flygplanslastare, Nyby
C|110991|75|K|Ingrid Pineiro|75 år, F.d. handikappkonsulent, Gottsunda
C|110994|22|M|Sixten Svanberg|22 år, Studerande, Luthagen
C|110993|47|K|Malika Charipova Akgül|47 år, Lärare, Salabacke
C|110996|40|M|Gunnar Larsson|40 år, Forskare, Gottsunda
C|110995|70|K|My MyungHee Han|70 år, Konstvetare, Salabacke
C|152234|76|M|Ove Johansson|76 år, Pensionär, Gamla Uppsala
C|98802|63|K|Birgitta Lundkvist|63 år, Röntgensköterska, Uppsala
C|165645|54|M|Stefan Hanna|54 år, företagare, civilekonom, Centrum
C|159090|34|K|Unn Harsem|34 år, maskiningenjör, Uppsala
C|159091|46|M|Mattias Johansson|45 år, policychef, Uppsala
C|165648|43|K|Zahrah Lifvendahl|42 år, agronom, Skyttorp
C|165649|46|M|Jonas Petersson|46 år, systemutvecklare, Ulleråker
C|159103|22|K|Diana Zadius|22 år, juridikstuderande, Uppsala
C|165651|65|M|Mats Åhlund|64 år, fd överåklagare, Industristaden
C|165652|49|K|Viviane Obaid|49 år, företagare, Gränby
C|159106|22|M|Olle Romlin|22 år, politisk sekreterare, Uppsala
C|159097|78|K|Rigmor Stenmark|78 år, pensionär, Uppsala
C|165655|67|K|Karin Ericsson|67 år, civilingenjör, Centrum
C|165656|70|M|Ingmar Jansson|71 år, företagare, Börje
C|165657|57|K|Lena-Maria Jansson|57 år, guide, Uppsala
C|165658|64|M|Hans Nordström|64 år, pensionär, Almunge
C|165659|42|K|Karolina Wigenfeldt|42 år, ekonom, Ramsta
C|165660|49|M|Johan Cejie|49 år, företagare, Norby
C|159102|27|K|Freija Carlstén|26 år, landskapsarkitekt, Uppsala
C|159107|25|M|Gustaf Svenungsson|25 år, agronom, Uppsala
C|165663|37|M|Ehsan Nasari|36 år,entreprenör, Stenhagen
C|159086|55|K|Anne Lennartsson|54 år, egenföretagare, Uppsala
C|165665|60|M|Curt Malmenstedt|59 år, jordbrukschef, Läby
C|159096|44|K|Mia Nordström|44 år, miljö- och klimatrådgivare, Uppsala
C|165667|34|M|Gustav Harrysson|34 år, gymnasielärare, Kåbo
C|165668|40|K|Anna Johansson|40 år, forskare, Kapellgärdet
C|165669|53|M|Joakim Strignert|53 år, jurist, City
C|165670|44|K|Cecilia Fischer|43 år, marknadschef, Sala backe
C|186755|23|M|Yousof Rizai|23 år, säljare, Storvreta
C|165671|56|K|Kristina Johnson|56 år, fastighetschef, Kungsängen
C|165672|68|M|Ulf Schmidt|68 år, lantbrukare, Vaksala
C|165673|43|M|Simon Öhlmér|43 år, programmerare, Centrum
C|165674|61|M|Stefan Hamnstedt|61 år, polis, Bälinge
C|165675|31|M|Victor Zhao-Jansson|31 år, IT-tekniker, Flogsta
C|159110|37|M|Daniel Solling|37 år, fil.dr forskningsarkivarie, Uppsala
C|165677|57|K|Anette Stavenow Eriksson|57 år, filmproducent, egenföretagare, Fålhagen
C|165678|73|M|Bengt Mattsson|73 år, pensionär, redovisningskonsult, Kvarngärdet
C|159105|34|K|Johanna Engström|34 år, leg. psykolog, Uppsala
C|207059|68|M|Göran Möller|68 år, docent, Kåbo
C|165680|65|M|Steffen Weckner|65 år, civilingenjör, Sävja
C|165681|64|M|Lars Björndahl|64 år, företagare, Bergsbrunna
C|165682|41|M|Meheraab Ali Habibi|41 år, kökschef, Fullerö
C|207063|67|K|Barbro Möller|67 år, musiker, Kåbo
C|165683|55|M|Johan Ulin|55 år, produktionschef, Kungsgärdet
C|165684|39|K|Kajsa Lindner|39 år, VD, Sunnersta
C|165685|25|M|Andreas Nilsson|25 år, Civilingenjör, Fålhagen
C|165686|33|M|Andreas Tyrberg|33 år, student, Kvarngärdet
C|165687|64|M|Mats Hellman|64 år, förvaltare, Dalby
C|159114|19|M|Daniel Hedefalk|18 år, studerande, Uppsala
C|159112|57|M|Mikael Eriksson|56 år, IT Ekonom, Uppsala
C|165690|36|K|Josefin Berglund|36 år, administratör, Uppsala
C|165691|43|M|Jerker Nyberg von Below|43 år, systemadministratör, Kåbo
C|165692|71|M|Ove Hultquist|71 år, organisationskonsult, Uppsala
C|178501|42|K|Katarina Öjefors Stark|42 år, apotekare, Uppsala
C|165693|53|M|Magnus Tauvon|53 år, företagsledare, Luthagen
C|165694|74|M|Bengt Jansson|73 år, fd. tulltjänsteman/pensionär, Västeråker Björk
C|165695|63|M|Håkan Fredriksson|62 år, lantbruksföretagare, Vänge
C|165696|42|M|Jacob Von Engeström|41 år, lantbruksföretagare, Bälinge
C|165697|45|K|Kristina Mastroianni|45 år, agronom, Danmarksby
C|165698|77|K|Alice Hult|77 år, pensionerad gymnasielärare, Sommarro
C|513149|26|M|Fredrik Hyttsten Almqvist|
C|515627|36|M|Christian Eriksson|
C|406450|22|K|Lovisa Johansson|22 år, Politisk sekreterare
C|406451|27|K|Stina Jansson|27 år, Lärarstudent och aktiv i tjej- och transjour
C|406452|32|M|Josef Safady Åslund|32 år, Behandlingsassistent och socionomstudent
C|406453|24|M|Charlie Strängberg|24 år, Student
C|352187|29|K|Leia Nordin|29 år, Lärare och matematiker
C|406455|56|K|Marie Sandberg|56 år, Arbetssökande
C|406456|35|M|Naser Babor|35 år, Läkare
C|406457|26|K|Matilda Källman|26 år, Receptionist
C|406458|40|K|Hodan Dualeh|39 år, Förskolelärare och tidigare undersköterska
C|219300|59|K|Carmen Blanco Valer|59år, Folkhögskolelärare, Uppsala
C|219321|35|M|Tomas Rimeika Karlsson|35år, Musiker/Retorikkonsult, Uppsala
C|406461|29|M|Erik Svensson|28 år, Programmerare och spelutvecklare
C|358120|48|M|Jonas Segersam|48, Kommunalråd, Uppsala
C|367133|24|K|Sarah Havneraas|24, Ombudsman, Uppsala
C|356871|70|K|Margit Borgström|70, Musiklärare, Uppsala
C|367135|33|M|Simon Westberg|32, Tjänsteman, Uppsala
C|367136|51|K|Eva Moberg|51, Föreståndare, Uppsala
C|358116|25|K|Evelina Solem|24, Sjuksköterska, Uppsala
C|367138|28|M|Mattias Holmström|27, Politisk sekreterare, Uppsala
C|367139|46|M|Christian Hermanson|46, IT-konsult, Uppsala
C|358107|18|M|Alexander Oscarsson|18, Studerande, Almunge
C|367141|66|M|Leif Boström|66, Serviceelektriker, Uppsala
C|356902|45|M|Martin Wisell|44, Kommittéhandläggare, Uppsala
C|367143|61|K|Amalia Hacopian|61, fd. Caféföreståndare, Uppsala
C|356886|74|M|Jan Erik Ågren|73, Prost, Uppsala
C|356881|50|K|Anna-Karin Vaz Contreiras|49, VD, Storvreta
C|356872|57|M|Ingemar Virsén|57, Byggnadsingenjör, Uppsala
C|367147|70|M|Alfonso Marin|69, fd. Multimediakonsult, Uppsala
C|367148|70|M|Tommy Pettersson|70, Pensionär, Uppsala
C|367149|61|K|Åsa Samuelsson|61, Leg psykolog, Uppsala
C|367150|40|M|Rickard Löfberg|39,, Uppsala
C|358119|24|M|Elias Sjögren|24, Civilingenjörsstudent, Uppsala
C|367152|42|M|Peter Holm|41, CTO, Uppsala
C|367153|71|M|Stig Andersson|71, Enhetschef, Bälinge
C|367154|25|M|Christoffer Orméus|25, Kriminalvårdare, Uppsala
C|356888|60|M|Sten Aleman|60, Officer, Uppsala
C|356889|24|K|Louice Moberg|24, Läkarstuderande, Uppsala
C|356880|26|M|Josef Gäreskog|26, Analytiker, Uppsala
C|367158|32|M|Fredric Strandh|32, Juridikstudent, Uppsala
C|358102|28|K|Alexandra Braf|28, Jurist, Uppsala
C|367160|69|M|Nils Ove Bejermyr|68, Ekonom, Storvreta
C|367161|49|M|Simon Elfving|49, Utvecklare, Uppsala
C|367162|53|M|Daniel Jernberg|53, Egenföretagare, Uppsala
C|480107|45|M|Lars Borgström|präst/lärare, 45, Uppsala
C|480129|64|K|Larissa Wickman|läkare, 64, Uppsala
C|507010|30|M|Niko Laxström|företagare, 30, Uppsala
C|507011|73|M|Lars Einarsson|pens. forskningsing., 73, Storvreta
C|131509|52|M|Claes Littorin|Lantbrukare, Uppsala
C|131606|45|K|Helena Sedvall|Verkstadsarbetare, Uppsala
C|131655|49|M|Yngve Eriksson|Drifttekniker, Uppsala
C|132599|40|M|Krister Ericsson|Produktionsingenjör, Uppsala
C|131653|49|K|Erica Åhström|Fotterapeut, Uppsala
C|132220|73|M|Thomas Nordlöv|Förläggare, Uppsala
C|270174|58|M|Arne Jansson|Koordinator/Deltidsbrandman, Knutby
C|132426|23|K|Luckie Söderholm|Studerande, Uppsala
C|132419|55|M|Peter Vahlqvist|Busschaufför, Uppsala
C|270184|25|M|Fredrik Andersson|Mjölkbonde, Storvreta
C|270185|67|M|Hans Johansson|Pensionär, Uppsala
C|270186|58|M|Leif Jalmerud|Elkonsult, Almunge
C|270187|38|M|Conny Andersson|Ambulanssjukvårdare, Uppsala
C|270201|75|M|Rune Söderström|Pensionerad lastbilschaufför, Knutby
C|270216|58|K|Birgitta Gregersen Kvist|Undersköterska, Järlåsa
C|270217|82|K|Marianne Fohlström|Pensionär, Uppsala
C|270218|47|K|Anna Karlsson|Regulatory Affairs Manager, Knutby
C|270219|48|K|Åsa Pousette|Medicinsk sekreterare, Knutby
C|270238|38|M|Stefan Sundstedt|Cateringlastare, Knutby
C|270239|59|K|Kristina Jalmerud|Läkare, Almunge
C|270240|41|M|Peter Hellsing|Distriktschef, Storvreta
C|270241|56|M|Magnus Åhström|Jordbrukare, Knutby
C|270264|65|K|Ann-Cathrine Littorin|Vårdbiträde, Almunge
C|270265|43|K|Hanna Delawyer|Barnskötare/Frisör, Knutby
C|270266|25|M|Niklas Åhström|Butiksbiträde, Knutby
C|270267|75|M|Gunnar Isaksson|Pensionär, Vänge
C|270268|58|K|Helena Mattsson|Egenföretagare/Fårägare, Björklinge
C|53267|46|M|Mohamad Hassan|kommunalråd, Uppsala, 46 år
C|53268|36|K|Helena Hedman Skoglund|gymnasielärare, 36 år
C|53269|33|M|Benny Lindholm|t.f. kammarrättsassessor, Uppsala, 33 år
C|53270|53|K|Eva Edwardsson|hovrättsråd, Uppsala, 53 år
C|53271|64|M|Anders A. Aronsson|företagare, Uppsala, 64 år
C|53272|22|K|Amanda Kanange|juriststudent, Uppsala, 22 år
C|53273|69|M|Mats Dafnäs|företagare, 69 år
C|53274|25|M|Oscar Matti|lärarstudent, 25 år
C|53275|54|K|Angelique Prinz Blix|projektledare, Uppsala, 54 år
C|53276|69|M|Peter Nordgren|företagare, 69 år
C|53277|36|K|Erica Närlinge|kanslichef, 36 år
C|53278|53|M|Anders Wallin|advokat, Uppsala, 53 år
C|53279|44|K|Susanne Eriksson|verksamhetschef äldreomsorgen, 44 år
C|53280|49|K|Helena Ling|förstelärare, 49 år
C|53281|42|K|Bodil Frick|idrott- och hälsoentreprenör, Uppsala, 42 år
C|53282|62|M|Urban Wästljung|industritjänsteman, Uppsala, 62 år
C|53283|27|K|Thea Andersson|kommunikatör, Uppsala, 27 år
C|53284|64|K|Anita Ericsson|fakultetshandläggare, 64 år
C|53285|36|K|Marmar Moshfeghi|kvinnorättsaktivist, 36 år
C|53286|51|M|Anders Westerlind|projektledare, 51 år
C|53287|46|K|Sofi Lahyani|regionchef, 46 år
C|53288|74|K|Gunnel Borgegård|f.d. direktor, 74 år
C|53289|23|K|Ulla Lovcalic|student, 23 år
C|53290|70|M|Björn Sundin|f.d. adjunkt, 70 år
C|53291|37|K|Leyla Demirel|utredare, 37 år
C|53292|58|K|Camilla Westerborn|civilingenjör, 58 år
C|53293|65|M|Aktar Zaman|integrationskonsult, 65 år
C|53294|66|K|Stojka Lakic|egenföretagare, 66 år
C|53295|67|K|Ing-Marie Hedman|beteendevetare, Uppsala, 67 år
C|53296|36|M|Lars-Johan Edström|högstadielärare, 36 år
C|53297|73|M|Kjell Aleklett|professor emeritus, 73 år
C|53298|41|K|Charlotte Bergendal|handläggare, Uppsala, 41 år
C|53299|37|K|Rebecca Weissmann|stadsplanerare, 37 år
C|53300|73|M|Anders Nordström|folkbildare, 73 år
C|53301|82|K|Ella-Britt Hanslöf|f.d. socialkamrer, 82 år
C|53302|50|K|Karin Lawenius|statsvetare, 50 år
C|53303|84|M|Alf Hanslöf|byggnadsingenjör, 84 år
