T|Göteborg
A|2|201221|201222|201223|200507|201225|201226|201227|201228|200506|201230|201231|200521|201233|201234|201235|201236|200512|201238|200520|201240|201241|201242|200514|201244|201245|201246|201247|201248|201249|201250|200518|201252|201253|201254|200508|200513|201257|201258|201259|201260|201261|201262|201263|200519|201265|200515|201267|201268|201269|201270|201271|201272|201273|201274|201275|201276|201277|201278|201279|201280|201281|201282|201283|201284|201285|201286|201287|201288|201289|201290|201291|202666
A|4|1888|36656|36657|1882|36659|36660|36661|36662|36663|36664|36666|36667|36668|36669|36670|36671|36672|6159|36674|36675|36676|36677|36678|36679|36680|36681|36682|36683|36684|36685|36686|36687|36688|36689
A|1297|281046|281047|281048|281049|281050|281051|281052|281053|281054|281055|281056|281057|281058|281059|281060|281061|281062|281063|281064|281065|281066|281067|281068|281069|281070|281071|281072|281073|281074
A|1150|365282|514817
A|1136|469730|469731|469732|469733
A|532|188461|219308|185389|188425|276374|276375|219336|219296|276415|276488|276489|276490|276491|219337|276555|276556|276557|276558|276559|276560|276561
A|638|515695
C|202666|62|M|Alaedin Hedayati|62, Arbetsförmedlare
C|1888|30|K|Emmyly Bönfors|30 år, tjänsteman
C|36656|23|M|Naod Habtemichael|23 år, studerande
C|36657|32|K|Sabina Music|32 år, byggingenjör
C|1882|44|K|AnnaSara Perslow|44 år, organisationsutvecklare
C|36659|56|K|Ajsela Bruncevic|56 år, montessorilärare, jurist
C|36660|33|M|Hayder Tariq|33 år, studerande
C|36661|60|M|Gunne Steen|60 år, egenföretagare
C|36662|24|K|Dana Pourkomejlian|24 år, jurist
C|36663|50|K|Didar Zuta|50 år, marknadsekonom
C|36664|35|K|Louise Pettersson|35 år, kampanj- och organisationsledare
C|36666|47|K|Karin Östring Bergman|47 år, teknikkonsult
C|36667|30|K|Emina Music|30 år, beräkningsingenjör
C|36668|53|K|Katarina Lundin|53 år, civilekonom, projektledare
C|36669|29|M|Max Törnqvist|29 år, politisk sekreterare
C|36670|39|K|Lina M. Eriksson|39 år, filosofie doktor i statsvetenskap
C|36671|27|K|Amanda Hoffström|27 år, utvecklare, egenföretagare, studerande
C|36672|38|M|Wissam Chaabi|38 år, entreprenör
C|6159|63|M|Mats Brännström|63 år, IT-samordnare
C|36674|35|K|Cecilia Haraldsson|35 år, managementkonsult
C|36675|74|M|Dan Öjvind Gasstorp|74 år, pensionär
C|36676|64|M|Resad Bruncevic|64 år, civilingenjör
C|36677|76|M|Roland Norlén|76 år, sjökapten
C|36678|56|M|Hans Arby|56 år, civilingenjör
C|36679|33|M|Daniel Svensson|33 år, journalist
C|36680|46|M|Peter Hedberg|45 år, elektroingenjör
C|36681|53|M|Fredrik Nilsson|53 år, översättare
C|36682|25|M|Daniel Augustsson|25 år, montör
C|36683|40|M|Henrik Ragnevi|40 år, egenföretagare
C|36684|44|K|Linda Mathiasson|44 år, socionom
C|36685|46|M|Robert Nordman|46 år, ordningsvakt
C|36686|42|K|Marie Åhs|42 år, produktionschef
C|36687|39|M|Jakob Edshage|39 år, läkare
C|36688|47|K|Irene Nettéus|47 år, projektledare
C|36689|43|K|Sofia Gustavsson|43 år, habiliteringspedagog
C|281046|51|M|Martin Wannholt|civilingenjör, kommunalråd
C|281047|47|K|Jessica Blixt|grundskollärare
C|281048|61|M|Ulf Boström|integrationspolis
C|281049|51|K|Anna Karin Hammarstrand|företagare
C|281050|38|M|Jahja Zeqiraj|stadsdelsnämndsordförande
C|281051|50|K|Mariette Risberg|leg. sjuksköterska
C|281052|44|M|Henrik Munck|stadsdelsnämndsordförande
C|281053|71|K|Iréne Sjöberg-Lundin|kulturproducent
C|281054|60|M|Peter Danielsson|produktplanerare
C|281055|38|K|Karin Lindberg|företagare
C|281056|56|M|Bengt-Åke Harrysson|fastighetskonsult
C|281057|58|K|Åse Victorin|barn- och skolläkare
C|281058|60|M|Jan-Olof Ekelund|kommunikationsstrateg
C|281059|45|K|Veronica Öjeskär|projektledare
C|281060|79|M|Per Anders Örtendahl|ekonomie doktor
C|281061|56|K|Birgitta Lindgren Karlsson|förskolechef
C|281062|60|M|Torkel Bergström|IT-projektledare
C|281063|46|K|Karin Alfredsson|småföretagare
C|281064|49|M|Mikael Sjöholm|creative director
C|281065|63|K|Lillemor Williamsson|egenföretagare
C|281066|65|M|Thomas Hedberg|företagare
C|281067|58|K|Anna Thunes|administratör
C|281068|73|M|Charlie Karlsson|professor emeritus
C|281069|69|K|Marianne Aase|ergonom
C|281070|66|M|Thomas Lingefjärd|docent
C|281071|82|K|Eva Jonsson|farmaceut
C|281072|32|M|Christer Oxien|mediesäljare
C|281073|72|K|Birgitta Wästlund|leg. sjukgymnast
C|281074|67|M|Roy Glimström|utbildningskonsult
C|365282|44|M|Niklas Enström|
C|514817|32|M|Christian Olsson|
C|469730|39|K|Anna Mezarlis|Göteborg, barnskötare, 38 år
C|469731|30|K|Yllka Sheqiri Albrektson|Göteborg, projektledare, 30 år
C|469732|52|K|Heléne Olivegren|Göteborg, sjukgymnast och dansinspiratör, 52 år
C|469733|73|K|Berit Westin|Göteborg, pensionär, 74 år
C|188461|48|K|Stina Svensson|48, stödassistent, Göteborg
C|219308|31|K|Teysir Subhi|31år, Försäkringsrådgivare/lärarstudent /frilanskommunikatör, Göteborg
C|185389|44|M|Martin Jordö|44år, Kommunikatör, Göteborg
C|188425|28|K|Stina Sewén|28år, Sjuksköterska, Göteborg
C|276374|50|M|Masoud Vatankhah|50, Sociolog
C|276375|31|K|Louise Thörnqvist|31, Socialsekreterare
C|219336|36|M|Pelle Hällje|36år, Biståndsarbetare, Göteborg
C|219296|62|K|Denise Cresso-Nydén|62år, Utbildningsledare, Göteborg
C|276415|39|K|Fereshta Ziai|39, statsvetare, Göteborg
C|276488|38|K|Tove Adlerberth|38, jurist, Göteborg
C|276489|34|K|Matilda Skön|34, sångpedagog, Göteborg
C|276490|37|M|Johan Abrahamsson|37, Kundtjänst
C|276491|47|K|Åsa Nilsen|46, Socialsekreterare
C|219337|73|K|Gudrun Tiberg|73år, Journalist/Fritidspolitiker, Göteborg
C|276555|37|K|Alexandra Angelbratt|37, Projektledare
C|276556|28|K|David Berglind|28, studerande, Göteborg
C|276557|38|K|Ulrika Centerwall|38, Doktorand
C|276558|32|K|Linda Fahl|32, lärare, Göteborg
C|276559|29|K|Stina Ogbonnaya|29, Integrationshandläggare
C|276560|69|K|Lisbeth Larsson|69, professor emeritus, Vrångö
C|276561|51|K|Johanna Marseille|51, Grafisk, Designer
C|515695|57|M|Claes-Bertil Lewau|
C|285720|65|M|Ulf Nilsson|byggnadsplåtslagare
C|285721|33|K|Ingrid Frejd|undersköterska
C|285722|30|M|Povel Johansson|lokförare
C|285723|38|K|Helena Gunnarsson|pol. oberoende, fotvårdstekniker
C|285724|54|M|Tito Rojas|pol. oberoende, spårvagnsförare
C|285725|31|K|Leonora Lundvall|sjuksköterska
C|285726|70|M|Bengt Frejd|idrottsledare
C|285727|22|K|Nadja Lundberg|postarbetare
C|285728|71|M|Håkan Lundqvist|pensionär
C|285729|42|K|Jenny Tedjeza|chefredaktör
C|285746|28|M|Alexander Alvarado|pol. oberoende, behandlingsassistent
C|285731|32|K|Hanna Jadenius|fysioterapeut
C|285732|65|M|Hans Pollak|banarbetare
C|285733|69|K|Inger Johansson|pensionär
C|285734|32|M|Axel Lyckberg|IT-ingenjör
C|285735|24|K|Moa Hamark|spårvagnsförare
C|285736|52|M|Stevan Tomulevski|SKF-arbetare
C|285747|59|K|Ann-Christine Karlsson|kock
C|285738|63|M|John Näsman|Volvo-arbetare
C|285739|72|K|Vera Peterson|pensionär
C|285740|68|M|Bo Johansson|pensionerad hamnarbetare
C|285749|79|K|Sri Nimpuno|jourkvinna på kvinnojour
C|285748|34|M|Abdihakim Ahmed Gabow|Volvo-arbetare
C|285743|62|K|Ingrid Nilsson|specialpedagog
C|285744|29|M|Mikael Ekvall|landslagslöpare
