T|Sunne
A|2|22207|74264|106720|106721|106722|106723|106960|106961|106962|106963|106964|107293|107294|107295|107296|107297|107298|107299|107300|107302|107301|107303|107304|107353|107354
A|4|27483|27484|27485|27486|27487|27488|27489|27490|27491|27492|27493|27494|27495|27496|27497|27498|27499|27500|27501|27502|27503|27504|27505|27506|27507
A|1113|406359|406360|406361|406362|406363|406364|406365|406366|406367|406368|406369|406370|406371|406372|406373|406374|406376
A|68|293315|294925
A|3|28190|31343|59189|59190|59191|59192|59193|59194|59195|59196|59197|59198|59199|59200|59201
A|55|433808|433809|433810
A|1|38346|38347|38348|632|38350|38351|38352|38353|38354|38355|38356|38357|38358|38359|38360|38361|38362|38363|38364|38365
A|110|115414|115878|115879|115880|115881|115882|115883|115884|115885|115886|115887|115888|512663|512728|489774|516019
A|5|107255|107256|107257|107258
C|59192|41|M|Emanuel Olsson|41 år, lantbrukare, Angersby
C|59193|39|K|Linn Sohl|39 år, ekonom, Sunne
C|59194|64|K|Birgitta Holmquist|64 år, lärare, Sunne
C|59195|59|M|Arne Arvidsson|59 år, redovisningskonsult, Sunne
C|59196|61|K|Margareta Reinoldsson|61 år, enhetschef vård och omsorg, Sunne
C|59197|64|K|Eva Michel Edgren|65 år, skolkurator, Sunne
C|59198|69|M|Karl-Henrik Bergman|69 år, fd flygkapten, Gräsmark
C|59199|52|K|Zara Karvala|52 år, egenföretagare, Sunne
C|59200|57|M|Tomas Walfridsson|57 år, mekaniker, Bjälverud
C|59201|52|K|Katarina Bjälvegård|53 år, förskollärare, Bjälverud
C|433808|67|K|Eva Hallström|67 år, energi- och miljöingenjör, Sunne
C|433809|60|K|Tina Bok|60 år, folkhögskolelärare, Sunne
C|433810|71|M|Anders Hallström|civilekonom, Västra Ämtervik
C|38346|43|M|Henrik Frykberger|By
C|38347|49|K|Åsa Olsson|Västra Ämtervik
C|38348|28|M|Fredrik Andersson|Sunne
C|632|18|M|Anton Bengtsson|studerande, Sunne
C|38350|72|K|Kerstin Johannesen|Sunne
C|38351|19|M|Adam Schelin|Sunne
C|38352|55|K|Anette Rhudin|Östra Ämtervik
C|38353|44|M|Thomas Waldenström|Västra Ämtervik
C|38354|69|K|Marion Bergsjö|Västra Ämtervik
C|38355|52|M|Bo Eråker|Rottneros
C|38356|66|M|Tomas Mogren|Sunne
C|38357|65|K|Birgitta Olsson|Ivarsbjörke
C|38358|18|M|Albert Vidfelt|Sunne
C|38359|51|K|Åsa Rådhström|Norra Arneby
C|38360|63|K|Gunilla Lundell Larsson|Sunne
C|38361|72|K|Jane Andersson|Lysvik
C|38362|41|M|Marcus Bergsjö|Västra Ämtervik
C|38363|80|K|Solveig Nyqvist|Lysvik
C|38364|81|M|Kjell Herbertsson|Sunne
C|38365|57|M|Jan-Evert Rådhström|Norra Arneby
C|115414|54|M|Runar Filper|Riksdagsledamot, Sunne
C|115878|49|M|Jonas Bergström|49, Industrimekaniker, Sunne
C|115879|65|K|Margaretha Geeske Den Hollander|65, Lektor, Sunne
C|115880|65|M|Jan-Erik Annersand|65, Resesäljare, Lysvik
C|115881|46|M|Hans Arnkvist|Byggnadsarbetare, Sunne
C|115882|70|M|Bengt Dahlèn|70, Pensionär, Sunne
C|115883|52|M|Patrik Bergström|52, Resemontör, Norra Näs
C|115884|43|M|Per Nilsson|43, Hemmansägare, Hälserud
C|115885|20|M|Joakim Arnkvist|20, Studerande, Gräsmark
C|115886|50|M|Jan Johansson|50, Elektriker, Rottneros
C|115887|49|M|Lars-Göran Hagström|49, Taxichaufför, Gräsmark
C|115888|73|M|Håkan Abelsson|73, Företagare, Östra Ingersby
C|512663|53|M|Michael Arnaboldi|53, Stödassistent, Västra Ämtervik
C|512728|44|M|Carl Svensson|44, Butikschef, Lysvik
C|489774|27|K|Alexandra Johansson|
C|516019|71|M|Leif Hedman|
C|107255|67|M|Lars-Erik Hedlund|Sunne, egenföretagare
C|107256|52|M|Lars-Gunnar Johnson|Bäckalund, lantmätare
C|107257|69|K|Ingegerd Holmqvist|Västra Ämtevik, pensionär
C|107258|68|M|Leif Glavstedt|Västra Ämtevik, pensionär
