T|Östersund
A|1365|513996
C|8161|68|K|Bendigt Eriksson|68, Administratör, Östersund
C|73750|32|M|Jason O'Halloran|32, Socionom, Centrum
C|8228|58|K|Eva Marcusdotter|58, Handledare, Frösön
C|73752|75|M|Kjell Svantesson|75, Pensionär, Ängsmon
C|73753|38|K|Rosi Hoffer|38, Projektledare, Valla
C|73754|54|M|Per-Olof Wallberg Persson|54, Kooperatör, Valla
C|8148|23|K|Jenny Störvold|23, Målare, Östersund
C|73756|27|M|Mathias Christensen|27, Säljare, Hornsberg
C|96890|66|K|Annmari Sandberg|66, Socionom, Lugnvik
C|73757|60|M|Thomas Andersson|60, Samhällsmedicinsk sekr, Odensala
C|73758|45|K|Maria Gerdin|45, Förskollärare, Björkbacka
C|8147|54|M|Anders Magnusson|54, VD, Frösön
C|73760|67|K|Bodil Laxvik|67, Pensionär, Norr
C|16258|47|M|Simon Teclehaimanot|47, Lärare, Frösön
C|73856|45|K|Sara Bengtlars|45, Undersköterska, Husås
C|73857|39|M|Pontus Persson|39, Elektriker, Odensala
C|73858|55|K|Maria Larm|54, Enhetschef, Brunflo
C|174058|33|M|Andreas Sundelin|33, Byggnadsinspektör, Lugnvik
C|84097|29|K|Ida Roos|29, Arbetsförmedlare, Lit
C|73859|38|M|Tommy Winter|38, Alpin chef, Lillsjön
C|7441|71|K|Margareta Winberg|71, Ambassadör, Östersund
C|96901|60|M|Dag Wassdahl|60, Systemtekniker, Fjällmon
C|8221|41|K|Susanne Persson|41, Projektledare, Brunflo
C|73861|51|M|Anders Frederiksen|51, Ombudsman, Karlslund
C|160265|23|K|Emma Mikaelsson|23, Socionom, Centrum
C|8134|26|M|André Norlén|26, Ombudsman, Östersund
C|73863|70|K|Britt Wikman|70, Pensionär, Marielund
C|84103|33|M|Bobo Sollander|33, Social coach, Frösön
C|73864|64|K|Jessica Rundberg|64, Kvinnofridsrådgivare, Centrum
C|96908|31|M|Peter Sidén|31, Arbetsmiljöingenjör, Fjällmon
C|8135|69|K|Gudrun Olsson|70, Socionom, Östersund
C|73866|63|M|Tomas Frank|63, Lärare, Valla
C|73867|47|K|Jessica Amarouche|47, Egen företagare, Lugnvik
C|73868|68|M|Staffan Hillström|68, Jur.kand, Karlslund
C|8163|37|K|Catharina Berg|37, Bonde, Lit
C|73870|49|M|Jan Frid|49, Banktjänsteman, Odenslund
C|73871|72|K|Anne-Marie Salomonsson|72, Specialpedagog, Körfältet
C|73872|45|M|Shah Hosein|45, Egen företagare, Skogsmon
C|73873|58|K|Lena Svegare|58, Undersköterska, Marielund
C|73874|71|M|Tommy Pettersson|71, Fd slakteriarbetare, Körfältet
C|74024|20|K|Johanna Pålsson|20, Personlig assistent, Brunflo
C|74025|74|M|Björn Karlsson|74, Pensionär, Centrum
C|74026|52|K|Helena Lassen|52, Kvinnofridsrådgivare, Centrum
C|112124|74|M|Roland Sundström|74, Ekonom, Ängsmon
C|74027|73|K|Solveig Danielsson|73, Pensionär, Fjällmon
C|74028|77|M|Kjell Karlsson|77, Pensionär, Frösön
C|74029|66|K|Agnetha Danielsson|66, Fd vårdare, Lövudden
C|7454|65|M|Tahar Khalfallah|65, Integrationshandledare, Östersund
C|96926|37|K|Liisa Liljekvist|37, Butiksmedarbetare, Blomängen
C|7448|39|M|David Adervall|39, Folkhälsoutredare, Östersund
C|74032|76|K|Gertrud Nygren|76, Pensionär, Centrum
C|74033|24|M|Mohammad Gholamy|24, Integrationsvägledare, Körfältet
C|8224|49|K|Jaana Pålsson|49, Ombudsman, Brunflo
C|74035|37|M|Nicklas Lindahl|37, Kommunikatör, Frösödal
C|74036|64|K|Majlis Ek|64, Kontorist, Brunflo
C|242657|58|M|Bosse Svensson|konsult 58 år Brunflo
C|242658|59|K|Kerstin Arnemo|egenföretagare 59 år Vamsta
C|242659|50|M|Magnus Andersson|lantbrukare 50 år Lit
C|8554|29|K|Hanna Wagenius|29 år, Jurist, Östersund
C|95768|43|M|Tom Silverklo|entreprenör 43 år Frösön
C|242662|33|K|Sara Wikman|rektor 33 år Frösön
C|242663|55|M|Per Lundgren|idrottslärare/företagare 55 år Optand
C|242664|45|K|Kristina Grahn Persson|chef affärsstöd 45 år Östersund
C|242665|42|M|Magnus Rönnerfjäll|sjuksköterska/egenföretagare 42 år Frösön
C|242666|38|K|Sol Vikström|egenföretagare 38 år Frösön
C|95776|27|M|Johannes Andersson|skidåkare/egenföretagare 27 år Frösön
C|242668|41|K|Li Zakrisson|entreprenör 41 år Östersund
C|242669|46|M|Thomas Andersson|företagare 46 år Fåker
C|242670|42|K|Linda Petersson|kulturarbetare/företagare 42 år Östersund
C|242671|65|M|Leif Hagberg|pensionerad polis 65 år Östersund
C|242672|44|K|Carolina Schönbeck|utredare 44 år Brunflo
C|242673|40|M|Stefan K. O. Strömmer|ingenjör 40 år Östersund
C|242674|57|K|Margareta Lindhagen|agr. dr. 57 år Hegled
C|242675|48|M|Magnus Schalin|företagare 48 år Frösön
C|242676|48|K|Monica Persson|handläggare 48 år Fåker
C|242677|51|M|Jörgen Larsson|företagare 51 år Frösön
C|242678|47|K|Marianne Norin|beteendevetare 47 år Brunflo
C|242679|74|M|Anders Granbom|pensionär 74 år Brunflo
C|242680|54|K|Brigitta K Engelsberger|mjölkbonde 54 år Tandsbyn
C|242681|60|M|Sven Nilsson|ingenjör 60 år Namn/Frösön
C|242682|30|K|Pernilla Karlsson|personlig assistent 30 år Östersund
C|242683|61|M|Per Ericsson|företagare/akademiker 61 år Nyby
C|242684|56|K|Gunilla Lindgren|sjukpensionär 56 år Fåker
C|242685|31|M|Patrik Andersson|banktjänsteman 31 år Östersund
C|242686|71|K|Irene Göransson|pensionär 71 år Brunflo
C|242687|33|M|Michael Nassar|egen företagare 33 år Östersund
C|242688|69|K|Ann Helene Lindroos|pensionär 69 år Haga/Brunflo
C|242689|66|M|Frank Nilsson|egen företagare 66 år Öd/Brunflo
C|242690|48|K|Susanne Edfeldt Sjöling|processledare 48 år Östersund
C|242691|35|M|Tamim Alisade|vårdbiträde 35 år Frösön
C|242692|48|K|Anne-Catrine Hedman|lärare 48 år Östersund
C|242693|45|M|Morgan Byström|kärnborrare 45 år Orrviken
C|242694|47|M|Björn Sandin|lärare 47 år Frösön
C|242695|47|M|P-G Bergqvist|säljare 47 år Tandsbyn
C|242696|51|M|Stefan Machnov|konsult 51 år Marieby
C|242697|34|M|Martin Nordman|enhetschef 34 år Lit
C|513716|42|K|Marie Wiktorsson|42 år, utvärderare Naturvårdsverket
C|513717|23|K|Emily Dernfors|23 år, student
C|219327|56|K|Ingrid Mårtensson|56år, Ekonom, Östersund
C|513719|18|K|Nova Hamrén|18 år, student
C|285758|63|M|Stephen Jerand|polismästare, Östersund
C|205319|66|M|Stig Andersson|fd officer, Östersund
C|205314|51|K|Lena Östling|tandhygienist, Östersund
C|205320|81|M|Emanuel Sandberg|ingenjör, Östersund
C|205316|23|K|Andrea Hedenborg|kassörska, Östersund
C|209046|61|M|Dennis Blom|företagare, Körfältet
C|209047|67|K|Gertrud Hagman|ekonom, Torvalla By
C|205310|60|M|Lars-Erik Olofsson|infektionsläkare, Frösön
C|209049|53|K|Maria Flink Opoku|teaterpedagog, Östersund
C|205322|71|M|Karl-Göran Eriksson|ingenjör, Östersund
C|49200|48|M|Pär Löfstrand|universitetslektor, Östersund
C|223099|71|K|Margareta Widell|veterinär,Frösön
C|223100|46|M|Serhat Uzun|egen företagare,studiehandledare,Östersund
C|223101|72|K|Annica Nordell|egen företagare,Frösön
C|223102|50|M|Joakim Åberg|egen företagare,Frösön
C|223103|33|K|Mireya Melander|studerande,Östersund
C|223104|65|M|Bengt Magnusson|fd lärare,Frösön
C|223105|52|K|Eva Jönsson|lärare i förskolan,Brunflo
C|223106|74|M|Lennart Ledin|fd revisionsdirektör,Östersund
C|223107|44|K|Ariane Briant Kjellson|utredare,Östersund
C|223108|70|M|Bo Oscarsson|jamska,Östersund
C|223109|71|K|Kia Carlsson|pensionär,Frösön
C|223110|75|M|Tomas Svanström|pensionär,Östersund
C|223111|76|M|Thord Eric Nilsson|redaktör,Östersund
C|223112|54|M|Ulf Pettersson|kyrkogårdschef,Brunflo
C|223113|69|M|Mats El Kott|arbetsrättsjurist,Östersund
C|223114|73|M|Finn Cromberger|egen företagare,Östersund
C|223115|32|M|Henrik Loxell|kommunjurist,Östersund
C|223116|54|M|Torbjörn Ericson|jur kand,Östersund
C|223117|77|M|Kjell Ericson|fd polis,Östersund
C|223118|21|K|Stina Johnsson|studerande,Östersund
C|223119|75|M|Mats E Nilsson|fd överläkare,Frösön
C|223120|47|M|Mehmet Akdag|egen företagare,Östersund
C|175342|52|M|Florian Stamm|52, Utredare, Frösön
C|385882|40|K|Linda Andersson|40, Ekonom
C|175344|34|M|Thomas Dahlberg|34, Programmerare, Hara
C|385884|39|K|Elin Stenberg|39, Utredare
C|175339|50|K|Angelika Lindahl|50, Universitetslärare, Frösön
C|175346|43|M|Anders Vikström Aloandersson|43, Familjebehandlare, Torvalla by
C|385887|42|K|Jenny Persson|42, Konstnär, fotograf, Frösön
C|175348|40|K|Ann-Sofie Karlsson|40, Utredare, Östersund
C|385889|47|M|Lars Johan Bodin|47, Biografanställd
C|385890|38|K|Karin Österberg|38, Hållbarhetschef
C|385891|58|K|Ingela Jagne|58, Hortonom
C|175347|54|K|Lena Mackegård|54, Egen företagare, Östersund
C|385893|21|K|Lovisa Roos|21, Studerande
C|385894|43|M|Daniel Liljendahl|43, Statsvetare
C|385895|42|K|Annelie Mattson-Djos|42, Verksamhetscontroller, Östersund
C|175336|27|M|Anton Nordqvist|27, egenföretagare, Östersund
C|385897|34|K|Lisa Bois|34, Handläggare
C|175337|56|K|Karin Thomasson|56, Musiklärare, Frösön
C|385899|37|M|Anders Österholm|37, Systemutvecklare
C|39496|59|M|Pär Jönsson|59, Frösön
C|39489|36|M|Robert Hamberg|36, Lillsjöhögen
C|39491|65|K|Lise Hjemgaard Svensson|65, Östersund
C|39498|56|M|Joackim Ekroth|56, Östersund
C|39506|28|M|Joel Nordkvist|28 år, Frösön
C|39510|39|M|Andreas Köhler|39, Östersund
C|39512|38|M|Pär Fredriksson|38 år, Östersund
C|39490|18|K|Amanda Jonsson|18, Östersund
C|39543|34|M|Magnus Lenz|34, Östersund
C|39494|32|M|Linus Kimselius|32, Östersund
C|39538|44|K|Anna Martin|44 år, Östersund
C|39519|77|K|Linnéa Wigg Victor|77, Östersund
C|253477|64|K|Ulla-Karin Näs|Företagare, Torvalla
C|253478|72|M|Sverker Jonsson|Köpman, Mo
C|39524|53|K|Salwa Fakr-Eddine|53 år, Lit
C|39539|37|M|Carl-Michael Sillström|37, Östersund
C|39540|74|M|Lars Olof Lignell|74 år, Lit
C|253482|62|M|Lars Carlsson|Förskollärare, Södra Söre
C|39544|32|K|Sandra Leosson|32 år, Östersund
C|253484|40|M|Johnny Holmfors|Statstjänsteman, Odensala
C|39542|41|K|Marielle Hoflin Strindlund|41 år, Tandsbyn
C|39528|65|M|Leif Danielsson|65 år, Brunflo
C|39526|70|M|Ove Isacsson|70 år, Frösön
C|39546|43|M|Hans Klaesson|43 år, Östersund
C|39547|38|M|Per Svee|38 år, Östersund
C|39545|56|K|Susanne Störvold|56 år, Östersund
C|39541|58|M|Mikael Hålén|58 år, Frösön
C|253492|75|K|Ragna Unger|Pensionär, Karlslund
C|253493|61|M|Mikael Nässén|Busschaufför, Fritzhem
C|253494|77|M|Leif Westergren|Pensionär fd controller, Söder
C|253495|65|M|Göran Andersson|Verksamhetschef, Odensala
C|253496|46|K|Anna Malgorzata Larsson|Undersköterska, Brittsbo
C|253497|81|M|Gunnar Hjelm|Pensionär, Körfältet
C|253498|67|K|Iréne Carlsson|Ekonom, Palleråsen
C|253499|18|M|Gustav Törnroos|Studerande, Lövsta
C|253500|36|M|David Carlsson|Miljöinspektör, Centrum
C|253501|70|K|Ingeborg Sahlin|Pensionär, Blomängen
C|253502|61|M|Lars Funseth|Köpman, Fillsta
C|253503|37|M|Anders Ohlson|Industriarbetare, Odensala
C|253504|23|M|Johan Karlsson Fridlund|Studerande, Odenslund
C|253505|51|M|Robert Mårtensson|IT-konsult, Berge
C|253506|43|M|Tomas Jonsson|Taxichaufför, Torvalla
