T|Valdemarsvik
A|2|24963|24907|95221|95222|95255|95256|24906|95258|24572|95260|95261|95262|95276|95277|95278|95294|95295|95296|95297|97979|97980|97981|97982|97983|98146|98147|98148|98149|98150|98151|98152|98153|98154
A|4|12037|14332|71404|71405|71406|71407|12133|71409|71410|71411|71412|71413|71414|71415|71416|71417|71418|71419|71420|71421
A|68|251464|251465|251466|251467|251468|251469|251470|251471|251472|251473|251474|251475|251476
A|1011|131402|165757|165772|165821|131403|165942|165943|165944|165945|165946|439187
A|3|249292|283528|283529
A|55|415603|421700|421701
A|1|3325|12895|15361|15362|15363|15364|15365|15366|15367|15368|15369|15370|15371|15372|15373|15374|15375|15376|15377|15378
A|984|375983|375984|375985|375986|375987|375988|375989|375990|375991|375992|375993|375994|375995|375996|375997|375998|375999|376000|376001|376002|376003|376004|376005
A|110|82061|82062|82063|82065|82066|82067|82068|82069|82070|82071|107001
A|5|71567|75528|75523|118573
C|165944|79|M|Bengt Karlsson|Hemmansägare, Gusum
C|165945|34|K|Susanna Rasmussen|Undersköterska, Valdemarsvik
C|165946|74|M|Bengt Wahlman|Senior advisor, Tryserum
C|439187|68|M|Lars Hallkvist|Pensionär, Valdemarsvik
C|249292|58|K|Helena von Schantz|språklärare, Valdemarsvik
C|283528|79|M|Staffan Dalin|pensionär
C|283529|73|K|Marianne Franck-Nilsson|pensionär
C|415603|60|M|Bror-Tommy Sturk|60, Museichef, Valdemarsvik
C|421700|37|K|Mika Liffner|37, Konstnär & självhushållare
C|421701|44|M|Alexandre Ambec|44, Musiklärare
C|3325|48|K|Anna Nilsson|Leg.sjuksköterska/Fil.mag, 48 år, Valdemarsvik
C|12895|54|M|Per Hollertz|Valdemarsvik
C|15361|53|K|Carina Thuresson|Tryserum
C|15362|39|M|Anders Sjölander|Ringarum
C|15363|72|K|Yvonne Janhäger|Valdemarsvik
C|15364|61|M|Hans Andersson|Valdemarsvik
C|15365|57|K|Jeanette Nordgren|Gryt
C|15366|74|M|Bernt Janhäger|Valdemarsvik
C|15367|50|M|Anders Jonsson|Valdemarsvik
C|15368|70|M|Ulf Larsson|Gryt
C|15369|55|M|Johan Gustavsson|Gryt
C|15370|60|M|Lennart Andersson|Östra Ed
C|15371|47|K|Susanne Carlsson|Rullerum
C|15372|47|M|Gunnar Pilspets|Ringarum
C|15373|23|M|Axel Hollertz|Ringarum
C|15374|55|M|Per-Ola Birgersson|Gusum
C|15375|62|M|Jan-Erik Andersson|Tryserum
C|15376|72|M|Lars Ekblad|Valdemarsvik
C|15377|66|M|Per Gunnarsson|Östra Ed
C|15378|75|K|Christina Gårdebäck-Stork|Ringarum
C|375983|58|M|Bertil Eklund|58 år, Företagare
C|375984|60|M|Tord Andersson|60 år, Företagare
C|375985|50|M|Magnus Loftén|50 år, Resurspedagog
C|375986|64|M|Peter Lindergren|64 år, Målare
C|375987|30|M|Alexander Toomson|30 år, Verktygsmakare
C|375988|49|K|Märit Johansson|49 år, Arbetsledare
C|375989|62|K|Tanja Konstantinova|62 år, Läkare
C|375990|51|M|Tomas Coopa Pettersson|51 år, Militär
