0.73 234 334 18
0.71 647 920 19
0.67 898 193 20
0.66 495 862 20
0.65 797 123 18
0.64 838 271 18
0.63 414 155 20
0.63 825 146 18
0.61 992 289 20
0.61 1030 374 18
0.59 664 486 18
0.59 1142 657 18
0.56 1059 747 19
0.56 1067 887 20
0.56 598 484 20
0.55 634 952 18
0.55 1011 572 19
0.52 911 760 18
0.52 542 365 20
0.51 939 461 19
0.5 1140 792 18
0.49 211 608 18
0.48 506 936 18
0.46 1121 267 20
0.46 949 109 20
0.43 754 1067 18
0.42 913 642 18
0.41 712 477 20
0.4 986 352 18
