[[1190  757   34]
 [1073  306   38]
 [ 967  350   36]
 [ 721  375   39]
 [ 716  895   39]
 [ 431  210   39]
 [1216  925   39]
 [ 300  447   34]
 [ 974  778   39]
 [ 731   96   27]
 [ 579  128   32]
 [ 764  483   31]
 [ 942  168   38]
 [1108  739   29]
 [ 759  601   32]
 [ 712  696   29]
 [ 977  532   39]
 [1232  998   36]
 [ 324  315   20]
 [ 803  965   39]
 [ 835 1058   35]
 [1386  372   29]
 [ 486  382   34]
 [ 878  513   25]
 [ 567  275   22]
 [1152 1034   32]
 [ 886  912   24]
 [1108  497   25]
 [ 947  432   34]
 [ 742  309   29]
 [ 736  670   39]
 [1039  279   28]
 [ 970  645   22]
 [ 229  740   25]
 [1112  544   16]
 [1246  430   21]
 [ 795  920   29]
 [ 591  541   25]
 [1142  873   39]
 [1260  470   22]
 [ 567 1076   16]
 [ 402  570   27]
 [ 938  852   29]
 [1362  413   23]
 [1158  484   18]
 [ 912  756   23]
 [ 950  380   19]
 [1167  868   38]
 [ 781  536   31]
 [ 404  353   19]
 [ 545  960   17]
 [ 697 1013   19]
 [ 853 1008   32]
 [ 371  142   26]
 [ 701  629   19]
 [ 757  671   35]
 [1086  385   29]
 [ 761  388   19]
 [ 902 1008   19]
 [ 371  501   18]
 [1059  444   17]
 [1054  688   22]
 [ 595 1002   20]
 [ 518  850   16]
 [ 453  755   13]
 [ 766  252   20]
 [ 475  519   20]
 [1136  311   12]
 [ 474  587   15]
 [ 866 1032   35]
 [ 870  796   20]
 [1156 1110   16]
 [ 760  907   19]
 [ 257 1086   18]
 [ 540  413   18]
 [ 450  138   17]
 [1134  163   16]
 [ 136  583   16]
 [1125  714   14]
 [ 379  431   14]
 [ 482 1108   17]
 [ 760  986   15]
 [ 892  349   14]
 [ 891 1054   22]
 [1106 1019   17]
 [1110  330   16]
 [ 548  231   16]
 [1177  333   15]
 [1403 1094   15]
 [ 669 1054   13]
 [ 601  172   22]
 [ 629  245   18]
 [ 886  990   34]
 [ 731  509   15]
 [ 540   99   13]
 [ 523  799   15]
 [1041  476   14]
 [ 813  297   13]
 [ 374  900   13]
 [ 319  859   10]
 [1158  887   32]
 [ 783  185   19]
 [ 777  651   18]
 [ 625  976   15]
 [1199 1102   19]
 [1367  834   16]
 [1206  231   12]
 [ 539   79   16]
 [ 200  635   17]
 [ 827  205   19]
 [1195  941   15]
 [ 145  310   13]
 [ 603  909   11]]
