[[ 921  294   29]
 [ 102  609   34]
 [1059  746   24]
 [ 861  987   24]
 [ 769  617   27]
 [ 314  163   23]
 [1121  270   20]
 [1060  631   34]
 [ 899  193   23]
 [ 649   96   34]
 [ 890  616   31]
 [ 414  155   19]
 [ 569  826   28]
 [ 798  122   23]
 [ 825  146   17]
 [ 913  367   23]
 [ 709  479   22]
 [1167  346   22]
 [ 493  859   19]
 [ 626  216   23]
 [ 939  458   20]
 [1048  908   22]
 [ 644  920   20]
 [1141  657   20]
 [ 632  952   16]
 [ 957  323   19]
 [ 839  270   18]
 [ 233  335   18]
 [1067  889   16]
 [ 515  967   22]
 [1139  791   18]
 [ 506  935   16]
 [ 972   85   20]
 [ 991  285   18]
 [1009  567   18]
 [ 244   89   15]
 [ 762   24   13]
 [ 985  348   20]
 [ 496   86   10]
 [ 266  252   10]
 [1216  889   10]
 [1115  965   14]
 [1256  534   13]
 [ 597  487   16]
 [ 534  359   26]
 [1069  803   20]
 [1195  536   15]
 [ 909  762   16]
 [ 523  762   15]
 [ 532  938   15]
 [ 801  779   23]
 [ 625  124   14]
 [ 522  656   18]
 [ 946  107   16]
 [ 756 1067   14]
 [1032  372   13]
 [1224  492   11]
 [ 426   25   11]
 [ 718  209   15]
 [ 986  525   12]
 [ 211  608   11]
 [ 583  235   14]
 [ 857  220   12]
 [ 430  721   11]
 [ 911  640   17]
 [ 775  262   10]
 [ 665  483   16]
 [ 865  736   11]
 [ 889  916    9]
 [ 811  950   14]
 [ 519  332   10]
 [1198 1110   13]
 [ 560  447   10]
 [ 864  332    9]]
